,starttime,endtime,,
547,1709167667,1709167667,,1.00136E-05
548,1709167667,1709167667,,0
549,1709167667,1709167667,,0
550,1709167667,1709167667,,1.00136E-05
551,1709167667,1709167667,,1.00136E-05
552,1709167667,1709167667,,0
553,1709167667,1709167667,,1.00136E-05
554,1709167667,1709167667,,1.00136E-05
555,1709167668,1709167668,,2.00272E-05
556,1709167668,1709167668,,0
557,1709167668,1709167668,,0
558,1709167668,1709167668,,1.00136E-05
559,1709167668,1709167668,,1.00136E-05
560,1709167668,1709167668,,0
561,1709167668,1709167668,,0
562,1709167668,1709167668,,1.00136E-05
563,1709167668,1709167668,,0
564,1709167669,1709167669,,0
565,1709167669,1709167669,,0
566,1709167669,1709167669,,1.00136E-05
567,1709167669,1709167669,,0
568,1709167669,1709167669,,1.00136E-05
569,1709167669,1709167669,,0
570,1709167669,1709167669,,1.00136E-05
571,1709167669,1709167669,,1.00136E-05
572,1709167669,1709167669,,1.00136E-05
573,1709167669,1709167669,,1.00136E-05
574,1709167670,1709167670,,0
575,1709167670,1709167670,,0
576,1709167670,1709167670,,0
577,1709167670,1709167670,,1.00136E-05
578,1709167670,1709167670,,1.00136E-05
579,1709167670,1709167670,,1.00136E-05
580,1709167670,1709167670,,1.00136E-05
581,1709167670,1709167670,,0
582,1709167670,1709167670,,0
583,1709167670,1709167670,,1.00136E-05
584,1709167671,1709167671,,1.00136E-05
585,1709167671,1709167671,,1.00136E-05
586,1709167671,1709167671,,1.00136E-05
587,1709167671,1709167671,,1.00136E-05
588,1709167671,1709167671,,1.00136E-05
589,1709167671,1709167671,,0
590,1709167671,1709167671,,1.00136E-05
591,1709167671,1709167671,,0
592,1709167671,1709167671,,1.00136E-05
593,1709167671,1709167671,,0
594,1709167672,1709167672,,1.00136E-05
595,1709167672,1709167672,,0
596,1709167672,1709167672,,1.00136E-05
597,1709167672,1709167672,,0
598,1709167672,1709167672,,0
599,1709167672,1709167672,,0
600,1709167672,1709167672,,1.00136E-05
601,1709167672,1709167672,,1.00136E-05
602,1709167672,1709167672,,1.00136E-05
603,1709167672,1709167672,,0
604,1709167673,1709167673,,1.00136E-05
605,1709167673,1709167673,,0
606,1709167673,1709167673,,0
607,1709167673,1709167673,,1.00136E-05
608,1709167673,1709167673,,0
609,1709167673,1709167673,,1.00136E-05
610,1709167673,1709167673,,1.00136E-05
611,1709167673,1709167673,,0
612,1709167673,1709167673,,1.00136E-05
613,1709167673,1709167673,,1.00136E-05
614,1709167674,1709167674,,0
615,1709167674,1709167674,,0
616,1709167674,1709167674,,1.00136E-05
617,1709167674,1709167674,,0
618,1709167674,1709167674,,1.00136E-05
619,1709167674,1709167674,,1.00136E-05
620,1709167674,1709167674,,1.00136E-05
621,1709167674,1709167674,,0
622,1709167674,1709167674,,0
623,1709167674,1709167674,,1.00136E-05
624,1709167675,1709167675,,1.00136E-05
625,1709167675,1709167675,,0
626,1709167675,1709167675,,9.77516E-06
627,1709167675,1709167675,,0
628,1709167675,1709167675,,1.00136E-05
629,1709167675,1709167675,,1.00136E-05
630,1709167675,1709167675,,1.00136E-05
631,1709167675,1709167675,,1.00136E-05
632,1709167675,1709167675,,0
633,1709167675,1709167675,,1.00136E-05
634,1709167676,1709167676,,0
635,1709167676,1709167676,,1.00136E-05
636,1709167676,1709167676,,1.00136E-05
637,1709167676,1709167676,,0
638,1709167676,1709167676,,0
639,1709167676,1709167676,,1.00136E-05
640,1709167676,1709167676,,0
641,1709167676,1709167676,,0
642,1709167676,1709167676,,0
643,1709167676,1709167676,,1.00136E-05
644,1709167677,1709167677,,1.00136E-05
645,1709167677,1709167677,,0
646,1709167677,1709167677,,1.00136E-05
647,1709167677,1709167677,,1.00136E-05
648,1709167677,1709167677,,1.00136E-05
649,1709167677,1709167677,,1.00136E-05
650,1709167677,1709167677,,1.00136E-05
651,1709167677,1709167677,,0
652,1709167677,1709167677,,0
653,1709167677,1709167677,,9.77516E-06
654,1709167678,1709167678,,1.00136E-05
655,1709167678,1709167678,,1.00136E-05
656,1709167678,1709167678,,1.00136E-05
657,1709167678,1709167678,,1.00136E-05
658,1709167678,1709167678,,1.00136E-05
659,1709167678,1709167678,,0
660,1709167678,1709167678,,0
661,1709167678,1709167678,,1.00136E-05
662,1709167678,1709167678,,0
663,1709167678,1709167678,,1.00136E-05
664,1709167679,1709167679,,0
665,1709167679,1709167679,,0
666,1709167679,1709167679,,1.00136E-05
667,1709167679,1709167679,,0
668,1709167679,1709167679,,1.00136E-05
669,1709167679,1709167679,,0
670,1709167679,1709167679,,0
671,1709167679,1709167679,,0
672,1709167679,1709167679,,0
673,1709167679,1709167679,,1.00136E-05
