,starttime,endtime,,
230,1709222645,1709222645,,2.00272E-05
231,1709222645,1709222645,,1.00136E-05
232,1709222645,1709222645,,2.00272E-05
233,1709222645,1709222645,,1.00136E-05
234,1709222646,1709222646,,2.00272E-05
235,1709222646,1709222646,,1.00136E-05
236,1709222646,1709222646,,2.00272E-05
237,1709222646,1709222646,,3.00407E-05
238,1709222646,1709222646,,2.00272E-05
239,1709222646,1709222646,,1.00136E-05
240,1709222646,1709222646,,2.00272E-05
241,1709222646,1709222646,,2.00272E-05
242,1709222646,1709222646,,2.00272E-05
243,1709222646,1709222646,,2.00272E-05
244,1709222646,1709222646,,2.00272E-05
245,1709222647,1709222647,,3.00407E-05
246,1709222647,1709222647,,1.97887E-05
247,1709222647,1709222647,,2.00272E-05
248,1709222647,1709222647,,2.00272E-05
249,1709222647,1709222647,,3.00407E-05
250,1709222647,1709222647,,2.00272E-05
251,1709222647,1709222647,,2.00272E-05
252,1709222647,1709222647,,2.00272E-05
253,1709222647,1709222647,,2.00272E-05
254,1709222647,1709222647,,2.00272E-05
255,1709222648,1709222648,,2.98023E-05
256,1709222648,1709222648,,1.97887E-05
257,1709222648,1709222648,,2.98023E-05
258,1709222648,1709222648,,2.00272E-05
259,1709222648,1709222648,,3.00407E-05
260,1709222648,1709222648,,2.00272E-05
261,1709222648,1709222648,,3.00407E-05
262,1709222648,1709222648,,1.97887E-05
263,1709222648,1709222648,,1.97887E-05
264,1709222648,1709222648,,2.00272E-05
265,1709222649,1709222649,,1.97887E-05
266,1709222649,1709222649,,2.00272E-05
267,1709222649,1709222649,,1.00136E-05
268,1709222649,1709222649,,2.98023E-05
269,1709222649,1709222649,,2.00272E-05
270,1709222649,1709222649,,2.00272E-05
271,1709222649,1709222649,,1.97887E-05
272,1709222649,1709222649,,2.00272E-05
273,1709222649,1709222649,,3.00407E-05
274,1709222649,1709222649,,3.00407E-05
275,1709222650,1709222650,,2.00272E-05
276,1709222650,1709222650,,2.00272E-05
277,1709222650,1709222650,,2.00272E-05
278,1709222650,1709222650,,1.00136E-05
279,1709222650,1709222650,,2.00272E-05
280,1709222650,1709222650,,1.97887E-05
281,1709222650,1709222650,,2.00272E-05
282,1709222650,1709222650,,6.00815E-05
283,1709222650,1709222650,,3.00407E-05
284,1709222651,1709222651,,3.00407E-05
285,1709222651,1709222651,,2.00272E-05
286,1709222651,1709222651,,2.00272E-05
287,1709222651,1709222651,,2.98023E-05
288,1709222651,1709222651,,0
289,1709222651,1709222651,,1.00136E-05
290,1709222651,1709222651,,1.00136E-05
291,1709222651,1709222651,,0
292,1709222651,1709222651,,1.00136E-05
293,1709222651,1709222651,,1.00136E-05
294,1709222651,1709222651,,0
295,1709222652,1709222652,,0
296,1709222652,1709222652,,9.77516E-06
297,1709222652,1709222652,,1.00136E-05
298,1709222652,1709222652,,0
299,1709222652,1709222652,,0
300,1709222652,1709222652,,1.00136E-05
301,1709222652,1709222652,,0
302,1709222652,1709222652,,0
303,1709222652,1709222652,,1.00136E-05
304,1709222652,1709222652,,1.00136E-05
305,1709222653,1709222653,,1.00136E-05
306,1709222653,1709222653,,1.00136E-05
307,1709222653,1709222653,,0
308,1709222653,1709222653,,1.00136E-05
309,1709222653,1709222653,,1.00136E-05
310,1709222653,1709222653,,0
