,vehicleid,recievetime,,,
292,EW11,1709221297,,,
293,EN13,1709221297,,,
294,EN11,1709221297,,,
295,SW03,1709221297,,,
296,SW02,1709221297,,,
297,SW01,1709221297,,,
298,SN10,1709221297,,,
299,SE12,1709221297,,,
300,SE10,1709221297,,,
301,ES01,1709221297,,,
302,ES00,1709221297,,,
303,EW12,1709221297,,,
304,EW10,1709221297,,,
305,EN12,1709221297,,,
306,EN11,1709221297,,,
307,SW03,1709221297,,,
308,SW01,1709221297,,,
309,SN13,1709221297,,,
310,SN11,1709221297,,,
311,SE13,1709221297,,,
312,SE12,1709221297,,,
313,SE10,1709221297,,,
314,ES02,1709221297,,,
315,ES01,1709221297,,,
316,EW13,1709221297,,,
317,EW11,1709221297,,,
318,EN13,1709221297,,,
319,EN11,1709221297,,,
320,EN10,1709221297,,,
321,SW02,1709221297,,,
322,SW00,1709221297,,,
323,SN13,1709221297,,,
324,SN12,1709221297,,,
325,SE13,1709221297,,,
326,SE12,1709221297,,,
327,SE10,1709221297,,,
328,ES03,1709221297,,,
329,ES01,1709221297,,,
330,ES00,1709221297,,,
331,EW13,1709221297,,,
332,EW11,1709221297,,,
333,EN13,1709221297,,,
334,EN11,1709221297,,,
335,SW03,1709221297,,,
336,SW02,1709221297,,,
337,SW00,1709221297,,,
338,SN13,1709221297,,,
339,SN11,1709221297,,,
340,SE13,1709221297,,,
341,SE11,1709221297,,,
342,ES03,1709221297,,,
343,ES01,1709221297,,,
344,ES00,1709221297,,,
345,EW12,1709221297,,,
346,EW11,1709221297,,,
347,EN12,1709221297,,,
348,EN10,1709221297,,,
349,SW02,1709221297,,,
350,SN13,1709221297,,,
351,SN11,1709221297,,,
352,SN10,1709221297,,,
353,SE12,1709221297,,,
354,SE10,1709221297,,,
355,ES03,1709221297,,,
356,ES01,1709221297,,,
357,ES00,1709221297,,,
358,EW13,1709221297,,,
359,EW11,1709221297,,,
360,EN13,1709221297,,,
361,EN12,1709221297,,,
362,SW03,1709221297,,,
363,SW01,1709221297,,,
364,SW00,1709221297,,,
365,SN12,1709221297,,,
366,SN10,1709221297,,,
367,SE11,1709221297,,,
368,SE10,1709221297,,,
369,ES02,1709221297,,,
370,ES01,1709221297,,,
371,ES00,1709221297,,,
372,EW13,1709221297,,,
373,EW12,1709221297,,,
374,EN13,1709221297,,,
375,EN11,1709221297,,,
376,SW02,1709221297,,,
377,SW00,1709221297,,,
378,SN12,1709221297,,,
379,SN11,1709221297,,,
380,SE13,1709221297,,,
381,SE11,1709221297,,,
382,ES03,1709221297,,,
383,ES01,1709221297,,,
384,EW12,1709221297,,,
385,EW11,1709221297,,,
386,EN12,1709221297,,,
387,EN10,1709221297,,,
388,SW02,1709221297,,,
389,SW00,1709221297,,,
390,SN12,1709221297,,,
391,SE12,1709221297,,,
392,SE10,1709221297,,,
393,ES02,1709221297,,,
394,ES00,1709221297,,,
395,EW12,1709221297,,,
396,EW10,1709221297,,,
397,EN13,1709221297,,,
398,EN11,1709221297,,,
399,SW02,1709221297,,,
400,SW00,1709221297,,,
401,SN12,1709221297,,,
402,SN10,1709221297,,,
403,SE12,1709221297,,,
404,ES03,1709221297,,,
405,ES02,1709221297,,,
406,ES01,1709221297,,,
407,EW13,1709221297,,,
408,EW11,1709221297,,,
409,EN13,1709221297,,,
410,EN11,1709221297,,,
411,SW03,1709221297,,,
412,SW02,1709221297,,,
413,SW00,1709221297,,,
414,SN12,1709221297,,,
415,SN10,1709221297,,,
416,SE12,1709221297,,,
417,SE10,1709221297,,,
418,ES02,1709221297,,,
419,ES01,1709221297,,,
420,EW13,1709221297,,,
421,EW11,1709221297,,,
422,EW10,1709221297,,,
423,EN12,1709221297,,,
424,EN10,1709221297,,,
425,SW02,1709221297,,,
426,SN13,1709221297,,,
427,SN11,1709221297,,,
428,SE13,1709221297,,,
429,SE11,1709221297,,,
430,ES03,1709221297,,,
431,ES01,1709221297,,,
432,ES00,1709221297,,,
433,EW13,1709221297,,,
434,EW11,1709221297,,,
435,EN13,1709221297,,,
436,EN11,1709221297,,,
437,SW02,1709221297,,,
438,SW01,1709221297,,,
439,SN13,1709221297,,,
440,SN11,1709221297,,,
441,SE13,1709221297,,,
442,SE12,1709221297,,,
443,ES03,1709221297,,,
444,ES02,1709221297,,,
445,ES01,1709221297,,,
446,ES00,1709221297,,,
447,EW12,1709221297,,,
448,EW10,1709221297,,,
449,EN12,1709221297,,,
450,EN11,1709221297,,,
451,SW01,1709221297,,,
452,SW00,1709221297,,,
453,SN13,1709221297,,,
454,SN11,1709221297,,,
455,SE13,1709221297,,,
456,SE12,1709221297,,,
457,SE10,1709221297,,,
458,ES02,1709221297,,,
459,ES01,1709221297,,,
460,EW13,1709221297,,,
461,EW12,1709221297,,,
462,EW10,1709221297,,,
463,EN13,1709221297,,,
464,EN11,1709221297,,,
465,SW03,1709221297,,,
466,SW00,1709221297,,,
467,SN12,1709221297,,,
468,SE13,1709221297,,,
469,SE11,1709221297,,,
470,SE10,1709221297,,,
471,ES02,1709221297,,,
472,ES01,1709221297,,,
473,EW13,1709221297,,,
474,EW11,1709221297,,,
475,EN13,1709221297,,,
476,EN11,1709221297,,,
477,SW03,1709221297,,,
478,SW02,1709221297,,,
479,SW00,1709221297,,,
480,SN12,1709221297,,,
481,SE13,1709221297,,,
482,SE11,1709221297,,,
483,ES03,1709221297,,,
484,ES01,1709221297,,,
485,EW13,1709221297,,,
486,EW11,1709221297,,,
487,EW10,1709221297,,,
488,EN12,1709221297,,,
489,EN11,1709221297,,,
490,SW03,1709221297,,,
491,SW02,1709221297,,,
492,SN13,1709221298,,,
493,SN11,1709221298,,,
494,SE13,1709221298,,,
495,SE10,1709221298,,,
496,ES02,1709221298,,,
497,ES01,1709221298,,,
498,EW13,1709221298,,,
499,EW11,1709221298,,,
500,EN13,1709221298,,,
501,EN11,1709221298,,,
502,EN10,1709221298,,,
503,SW01,1709221298,,,
504,SN13,1709221298,,,
505,SN12,1709221298,,,
506,SN11,1709221298,,,
507,SE13,1709221298,,,
508,SE12,1709221298,,,
509,SE10,1709221298,,,
510,ES02,1709221298,,,
511,ES01,1709221298,,,
512,EW12,1709221298,,,
513,EN13,1709221298,,,
514,EN11,1709221298,,,
515,SW03,1709221298,,,
516,SW01,1709221298,,,
517,SN12,1709221298,,,
518,SN11,1709221298,,,
519,SE12,1709221298,,,
520,SE10,1709221298,,,
521,ES02,1709221298,,,
522,ES00,1709221298,,,
523,EW12,1709221298,,,
524,EW10,1709221298,,,
525,EN13,1709221298,,,
526,EN11,1709221298,,,
527,SW03,1709221298,,,
528,SW01,1709221298,,,
529,SN13,1709221298,,,
530,SN11,1709221298,,,
531,SE13,1709221298,,,
532,SE11,1709221298,,,
533,ES03,1709221298,,,
534,ES01,1709221298,,,
535,EW13,1709221298,,,
536,EW12,1709221298,,,
537,EN13,1709221298,,,
538,EN11,1709221298,,,
539,SW03,1709221298,,,
540,SW01,1709221298,,,
541,SN12,1709221298,,,
542,SN11,1709221298,,,
543,SE13,1709221298,,,
544,SE11,1709221298,,,
545,ES03,1709221298,,,
546,ES02,1709221298,,,
547,ES01,1709221298,,,
548,EW13,1709221298,,,
549,EW11,1709221298,,,
550,EN13,1709221298,,,
551,EN11,1709221298,,,
552,SW03,1709221298,,,
553,SW01,1709221298,,,
554,SN11,1709221298,,,
555,SN10,1709221298,,,
556,SE12,1709221298,,,
557,ES03,1709221298,,,
558,ES01,1709221298,,,
559,EW13,1709221298,,,
560,EW10,1709221298,,,
561,EN12,1709221298,,,
562,EN10,1709221298,,,
563,SW01,1709221298,,,
564,SN13,1709221298,,,
565,SN11,1709221298,,,
566,SE13,1709221298,,,
567,ES03,1709221298,,,
568,ES01,1709221298,,,
569,ES00,1709221298,,,
570,EW12,1709221298,,,
571,EW10,1709221298,,,
572,EN12,1709221298,,,
573,EN10,1709221298,,,
574,SW02,1709221298,,,
