,starttime,endtime,
434,1709072195,1709072195,0
435,1709072195,1709072195,0
436,1709072195,1709072195,1.00136E-05
437,1709072195,1709072195,1.00136E-05
438,1709072195,1709072195,0
439,1709072195,1709072195,0
440,1709072195,1709072195,0
441,1709072195,1709072195,0
442,1709072195,1709072195,0
443,1709072195,1709072195,1.00136E-05
444,1709072196,1709072196,0
445,1709072196,1709072196,1.00136E-05
446,1709072196,1709072196,0
447,1709072196,1709072196,1.00136E-05
448,1709072196,1709072196,0
449,1709072196,1709072196,1.00136E-05
450,1709072196,1709072196,1.00136E-05
451,1709072196,1709072196,1.00136E-05
452,1709072196,1709072196,0
453,1709072196,1709072196,1.00136E-05
454,1709072197,1709072197,1.00136E-05
455,1709072197,1709072197,1.00136E-05
456,1709072197,1709072197,1.00136E-05
457,1709072197,1709072197,0
458,1709072197,1709072197,1.00136E-05
459,1709072197,1709072197,1.00136E-05
460,1709072197,1709072197,0
461,1709072197,1709072197,0
462,1709072197,1709072197,1.00136E-05
463,1709072197,1709072197,1.00136E-05
464,1709072198,1709072198,0
465,1709072198,1709072198,0
466,1709072198,1709072198,1.00136E-05
467,1709072198,1709072198,0
468,1709072198,1709072198,0
469,1709072198,1709072198,0
470,1709072198,1709072198,1.00136E-05
471,1709072198,1709072198,0
472,1709072198,1709072198,0
473,1709072198,1709072198,1.00136E-05
474,1709072199,1709072199,1.00136E-05
475,1709072199,1709072199,1.00136E-05
476,1709072199,1709072199,1.00136E-05
477,1709072199,1709072199,0
478,1709072199,1709072199,1.00136E-05
479,1709072199,1709072199,0
480,1709072199,1709072199,0
481,1709072199,1709072199,1.00136E-05
482,1709072199,1709072199,1.00136E-05
483,1709072199,1709072199,0
484,1709072200,1709072200,0
485,1709072200,1709072200,0
486,1709072200,1709072200,1.00136E-05
487,1709072200,1709072200,1.00136E-05
488,1709072200,1709072200,1.00136E-05
489,1709072200,1709072200,1.00136E-05
490,1709072200,1709072200,0
491,1709072200,1709072200,1.00136E-05
492,1709072200,1709072200,1.00136E-05
493,1709072200,1709072200,1.00136E-05
494,1709072201,1709072201,0
495,1709072201,1709072201,0
496,1709072201,1709072201,0
497,1709072201,1709072201,0
498,1709072201,1709072201,0
499,1709072201,1709072201,1.00136E-05
500,1709072201,1709072201,0
501,1709072201,1709072201,0
502,1709072201,1709072201,1.00136E-05
503,1709072201,1709072201,9.77516E-06
504,1709072202,1709072202,0
505,1709072202,1709072202,9.77516E-06
506,1709072202,1709072202,0
507,1709072202,1709072202,0
508,1709072202,1709072202,0
509,1709072202,1709072202,0
510,1709072202,1709072202,1.00136E-05
511,1709072202,1709072202,1.00136E-05
512,1709072202,1709072202,0
513,1709072202,1709072202,1.00136E-05
514,1709072203,1709072203,1.00136E-05
515,1709072203,1709072203,1.00136E-05
516,1709072203,1709072203,1.00136E-05
517,1709072203,1709072203,1.00136E-05
518,1709072203,1709072203,0
519,1709072203,1709072203,1.00136E-05
520,1709072203,1709072203,0
521,1709072203,1709072203,1.00136E-05
