#x,y,,
0.018048027,-0.808992095,1,1
0.024830424,-0.807260462,1,1
0.031632593,-0.80560822,1,1
0.0384547,-0.804040361,1,1
0.045296716,-0.80256182,1,1
0.052158414,-0.801177522,1,1
0.05903937,-0.799892393,1,1
0.06593895,-0.798711371,1,1
0.072856306,-0.797639402,1,1
0.079790363,-0.796681439,1,1
0.086739811,-0.795842436,1,1
0.093703093,-0.795127345,1,1
0.100678397,-0.794541104,1,1
0.107663647,-0.794088634,1,1
0.11465649,-0.793774823,1,1
0.121654291,-0.793604523,1,1
0.128654121,-0.793582535,1,1
0.13565275,-0.793713594,1,1
0.142646638,-0.794002365,1,1
0.149631929,-0.794453419,1,1
0.156605096,-0.795064532,1,1
0.163564221,-0.795819075,1,1
0.170511864,-0.796673223,1,1
0.177449194,-0.797607552,1,1
0.184376617,-0.798612739,1,1
0.191294088,-0.799684291,1,1
0.198201314,-0.800820019,1,1
0.205097873,-0.802018827,1,1
0.211983274,-0.80328014,1,1
0.218856995,-0.80460363,1,1
0.225718496,-0.80598908,1,1
0.232567229,-0.807436327,1,1
0.239402643,-0.808945228,1,1
0.246224185,-0.81051565,1,1
0.253031304,-0.812147459,1,1
0.259823447,-0.81384052,1,1
0.266600064,-0.815594695,1,1
0.273360605,-0.817409841,1,1
0.280104521,-0.81928581,1,1
0.286831266,-0.821222449,1,1
0.293540293,-0.823219603,1,1
0.300234386,-0.825266292,1,1
0.306926863,-0.827318296,1,1
0.313627243,-0.829344323,1,1
0.320340599,-0.831326907,1,1
0.327069737,-0.83325522,1,1
0.333816307,-0.835121609,1,1
0.340581336,-0.836919924,1,1
0.347365477,-0.838644719,1,1
0.354169124,-0.840290867,1,1
0.360992458,-0.841853384,1,1
0.367835464,-0.843327338,1,1
0.374697935,-0.844707808,1,1
0.381579463,-0.845989872,1,1
0.388479437,-0.847168599,1,1
0.39539703,-0.848239046,1,1
0.402331192,-0.849196265,1,1
0.409280636,-0.850035303,1,1
0.416243835,-0.850751214,1,1
0.423219006,-0.851339061,1,1
0.430204101,-0.851793927,1,1
0.437196802,-0.852110923,1,1
0.444194507,-0.852285198,1,1
0.451194322,-0.852311952,1,1
0.458193054,-0.852186444,1,1
0.465187203,-0.851904009,1,1
0.47217295,-0.85146007,1,1
0.479146806,-0.850856844,1,1
0.486106865,-0.850110957,1,1
0.493055661,-0.849266232,1,1
0.499994356,-0.848342095,1,1
0.506923361,-0.847347864,1,1
0.513842639,-0.846288032,1,1
0.520751906,-0.845164785,1,1
0.527650753,-0.843979216,1,1
0.534538704,-0.842731895,1,1
0.541415248,-0.841423148,1,1
0.548279859,-0.840053188,1,1
0.555132003,-0.838622174,1,1
0.561971141,-0.837130245,1,1
0.568796737,-0.835577529,1,1
0.575608249,-0.833964156,1,1
0.58240514,-0.832290255,1,1
0.589186873,-0.830555961,1,1
0.595952911,-0.828761411,1,1
0.602702718,-0.826906748,1,1
0.609438858,-0.825003002,1,1
0.616173709,-0.823094666,1,1
0.622916118,-0.821213229,1,1
0.629670771,-0.819376266,1,1
0.63644023,-0.817594664,1,1
0.643225965,-0.815876114,1,1
0.650028852,-0.814226791,1,1
0.65684941,-0.812652159,1,1
0.663687901,-0.811157355,1,1
0.670544378,-0.809747369,1,1
0.677418697,-0.808427139,1,1
0.684310518,-0.80720158,1,1
0.691219302,-0.806075609,1,1
0.698144302,-0.805054146,1,1
0.705084558,-0.804142117,1,1
0.712038878,-0.803344449,1,1
0.719005839,-0.802666066,1,1
0.725983771,-0.80211188,1,1
0.732970748,-0.801686789,1,1
0.73996458,-0.801395661,1,1
0.746962803,-0.801243331,1,1
0.753962671,-0.801234588,1,1
0.760961144,-0.801374164,1,1
0.767954884,-0.80166672,1,1
0.774940244,-0.802116835,1,1
0.781913263,-0.802728991,1,1
0.788870468,-0.803500885,1,1
0.795810325,-0.804415846,1,1
