,starttime,endtime,phaseDuration,,
241,1709236568,1709236568,5,,0.004080057
242,1709236574,1709236574,5,,0.004359961
243,1709236579,1709236579,5,,0.003819942
244,1709236584,1709236584,5,,0.004509926
245,1709236589,1709236589,5,,0.00676012
246,1709236594,1709236594,5,,0.005709887
247,1709236599,1709236599,5,,0.005679846
248,1709236604,1709236604,5,,0.01026988
249,1709236610,1709236610,5,,0.004829884
250,1709236615,1709236615,5,,0.004080057
251,1709236620,1709236620,5,,0.004610062
252,1709236625,1709236625,5,,0.005519867
253,1709236630,1709236630,5,,0.00537014
254,1709236635,1709236635,5,,0.004369974
255,1709236640,1709236640,5,,0.004130125
256,1709236646,1709236646,5,,0.008019924
257,1709236651,1709236651,5,,0.008029938
258,1709236656,1709236656,5,,0.004460096
259,1709236661,1709236661,5,,0.004349947
260,1709236666,1709236666,5,,0.006520033
261,1709236671,1709236671,5,,0.005369902
262,1709236676,1709236676,5,,0.004839897
263,1709236681,1709236681,5,,0.005110025
264,1709236686,1709236686,5,,0.003750086
265,1709236692,1709236692,5,,0.00635004
266,1709236697,1709236697,5,,0.006510019
267,1709236702,1709236702,5,,0.009229898
268,1709236707,1709236707,5,,0.00500989
269,1709236712,1709236712,5,,0.006030083
270,1709236717,1709236717,5,,0.005110025
271,1709236722,1709236722,5,,0.015949965
272,1709236728,1709236728,5,,0.004889965
273,1709236733,1709236733,5,,0.004349947
274,1709236738,1709236738,5,,0.004830122
275,1709236743,1709236743,5,,0.004619837
276,1709236748,1709236748,5,,0.004309893
277,1709236753,1709236753,5,,0.005020142
278,1709236758,1709236758,5,,0.006510019
279,1709236764,1709236764,5,,0.005120039
280,1709236769,1709236769,5,,0.003599882
281,1709236774,1709236774,5,,0.004559994
282,1709236779,1709236779,5,,0.006219864
283,1709236784,1709236784,5,,0.005069971
284,1709236789,1709236789,5,,0.004559994
285,1709236794,1709236794,5,,0.005069971
286,1709236799,1709236799,5,,0.00398016
287,1709236805,1709236805,5,,0.004899979
288,1709236810,1709236810,5,,0.005519867
289,1709236815,1709236815,5,,0.004319906
290,1709236820,1709236820,5,,0.004699945
291,1709236825,1709236825,5,,0.004269838
292,1709236830,1709236830,5,,0.005069971
293,1709236835,1709236835,5,,0.003290176
294,1709236841,1709236841,5,,0.003700018
295,1709236846,1709236846,5,,0.00481987
296,1709236851,1709236851,5,,0.004510164
297,1709236856,1709236856,5,,0.003949881
298,1709236861,1709236861,5,,0.00425005
299,1709236866,1709236866,5,,0.005210161
300,1709236871,1709236871,5,,0.00770998
,,,,,
,,,,,
,,,,,0.005582223
