,vehicleid,delaytime
261,SN1263,6.295712709
262,ES0262,11.99808645
263,WN0267,10.1905272
264,ES0265,10.79248452
265,WN0268,6.902420998
266,EN1257,41.09506035
267,EW1264,21.89058733
268,WE1271,14.0994916
269,EN1270,14.99171662
270,WE1277,6.593826771
271,EN1278,6.291281939
272,EN1281,6.294168234
273,SW0269,32.38528156
274,NE0266,40.4576335
275,NE0274,30.88804412
276,SE1273,43.19129014
277,NW1272,43.48800659
278,NW1275,37.19318151
279,SE1279,25.19661498
280,NW1276,30.61269975
281,SE1284,11.71037912
282,NW1282,23.99141955
283,SE1286,9.00591588
284,SE1287,8.997694492
285,SE1289,6.293639421
286,SN1293,6.303086042
287,SN1294,6.301484346
288,ES0290,15.60013056
289,WN0280,38.38039947
290,ES0292,10.50025105
291,EW1291,19.79613686
292,WE1285,27.28812909
293,WS1283,34.18497181
294,WE1296,15.29360318
295,WS1299,11.68769455
296,SW0297,17.995502
297,NE0288,31.49781299
298,NE0295,22.19188046
299,WS1300,11.99139166
300,SN1298,30.29049635
301,NS1303,6.606577635
302,SN1301,14.70047998
303,SN1306,6.294239044
304,NW1307,5.998233557
305,SE1308,6.302622795
306,SE1310,6.290420055
307,NS1311,5.989650726
308,WN0302,31.48733234
309,WN0305,23.68740606
310,WN0313,6.601401567
311,EN1304,40.20392156
312,WE1312,23.72046947
313,WS1314,10.81710792
314,EN1317,6.902639389
315,EN1324,6.294389248
316,WS1329,6.593430758
317,ES0319,17.40011501
318,WN0325,15.59831071
319,ES0322,16.79563308
320,WN0327,12.31092334
321,WN0328,12.30818295
322,WN0330,6.608377934
323,EN1332,8.700264454
324,WE1331,10.20837903
325,SW0309,56.71713543
326,NE0321,32.11646533
327,NE0323,31.81871176
328,SW0338,6.600248575
329,SN1333,26.4082458
330,SE1334,24.90027738
331,NS1315,48.61928511
332,NW1316,45.93988156
333,NW1318,45.6335218
334,NS1320,44.71178174
335,SE1337,16.21186709
336,NS1326,39.02302814
337,NS1336,23.11376953
338,SE1345,6.307869434
339,SN1346,6.304241419
340,SN1347,6.306861401
341,ES0335,35.09514809
342,WN0340,22.48571205
343,ES0348,11.69331884
344,WN0341,18.6076901
345,WN0350,6.610226154
346,EN1339,32.11375856
347,EW1343,20.72672987
348,WE1342,23.42685151
349,WS1351,9.300034046
350,EN1352,6.902723074
351,EW1353,6.31453371
352,EW1362,6.297614574
353,SW0344,40.80128336
354,NE0363,11.69418335
355,SW0360,17.71173882
356,SN1357,25.78690934
357,NW1349,37.47894692
358,NW1359,24.60776591
359,SN1366,11.39005446
360,SE1368,6.294641018
361,NW1370,5.993489742
362,ES0354,38.09581375
363,ES0355,37.79405665
364,WN0358,34.21161509
365,ES0356,37.78534555
366,WN0361,30.60238671
367,ES0364,23.39458799
368,WN0371,12.01285505
